,sidx,idx_strs,pargp3,parval1_3,3
0,"('GAJAC',)",idx0:gajac,riv,1.0,10.000000000000000000000000000000000000000000000000000000000
1,"('NOIR_AMONT',)",idx0:noir_amont,riv,1.0,1.135521492599999904271612649608869105577468872070312500000000000
2,"('MOULINAT_AMONT',)",idx0:moulinat_amont,riv,1.0,0.2106954181000000037027319876870024017989635467529296875000000000000
3,"('HAILLAN5',)",idx0:haillan5,riv,1.0,0.1290510028000000086745302496638032607734203338623046875000000
4,"('THIL_AVAL',)",idx0:thil_aval,riv,1.0,0.91109283314000000242316446019685827195644378662109375000000000
5,"('HAILLAN4',)",idx0:haillan4,riv,1.0,0.6821084344400000221142477130342740565538406372070312500000000
6,"('JPT_ECL_AVAL',)",idx0:jpt_ecl_aval,riv,1.0,1.08467657540000006477498573076445609331130981445312500000000000000
7,"('THIL_AMONT',)",idx0:thil_amont,riv,1.0,10.00000000000000000000000000000000000000000000000000000000000000
8,"('MAJOLAN',)",idx0:majolan,riv,1.0,1.369493286500000017724687495501711964607238769531250000000000
9,"('HAILLAN3',)",idx0:haillan3,riv,1.0,3.7642427251999999171516719798091799020767211914062500000000000
10,"('MOULINAT_AVAL',)",idx0:moulinat_aval,riv,1.0,2.679037785599999832442108527175150811672210693359375000000000000000
11,"('JPT_SEUIL_AVAL',)",idx0:jpt_seuil_aval,riv,1.0,1.0042187086000000650898300591506995260715484619140625000000000000000
12,"('NOIR_AVAL',)",idx0:noir_aval,riv,1.0,1.16382902019999989740028922824421897530555725097656250000000000
13,"('BUSSAGUET_AVAL',)",idx0:bussaguet_aval,riv,1.0,0.9874726480800000150139794641290791332721710205078125000000000000000
14,"('JPT_ECL_AMONT',)",idx0:jpt_ecl_amont,riv,1.0,0.152446927779999991114934232427913229912519454956054687500000000000
15,"('BUSSAGUET_AMONT',)",idx0:bussaguet_amont,riv,1.0,1.31422184639999994892889390030177310109138488769531250000000000000000
16,"('HAILLAN2',)",idx0:haillan2,riv,1.0,0.1000000000000000055511151231257827021181583404541015625000000
17,"('HAILLAN1',)",idx0:haillan1,riv,1.0,9.9999893488999997970267941127531230449676513671875000000000000
18,"('BLANC_AMONT',)",idx0:blanc_amont,riv,1.0,1.1564665852000000079158326116157695651054382324218750000000000000
