,sidx,idx_strs,pargp3,parval1_3,3
0,"('GAL',)",idx0:gal,cdrn,1.0,1.169840131299999974601178109878674149513244628906250000000
1,"('BAR',)",idx0:bar,cdrn,1.0,1.629934253200000071615249908063560724258422851562500000000
