,sidx,idx_strs,pargp3,parval1_3,3
0,"('ghb_w',)",idx0:ghb_w,cghb,1.0,1.00000000000000000000000000000000000000000000000000000000
1,"('ghb_n',)",idx0:ghb_n,cghb,1.0,1.00000000000000000000000000000000000000000000000000000000
2,"('ghb_s',)",idx0:ghb_s,cghb,1.0,1.00000000000000000000000000000000000000000000000000000000
