,sidx,idx_strs,pargp3,parval1_3,3
0,"('GAJAC',)",idx0:gajac,riv,1.0,1.0000000000000000000000000000000000000000000000000000000000
1,"('NOIR_AMONT',)",idx0:noir_amont,riv,1.0,1.000000000000000000000000000000000000000000000000000000000000000
2,"('MOULINAT_AMONT',)",idx0:moulinat_amont,riv,1.0,1.0000000000000000000000000000000000000000000000000000000000000000000
3,"('HAILLAN5',)",idx0:haillan5,riv,1.0,1.0000000000000000000000000000000000000000000000000000000000000
4,"('THIL_AVAL',)",idx0:thil_aval,riv,1.0,1.00000000000000000000000000000000000000000000000000000000000000
5,"('HAILLAN4',)",idx0:haillan4,riv,1.0,1.0000000000000000000000000000000000000000000000000000000000000
6,"('JPT_ECL_AVAL',)",idx0:jpt_ecl_aval,riv,1.0,1.00000000000000000000000000000000000000000000000000000000000000000
7,"('THIL_AMONT',)",idx0:thil_amont,riv,1.0,1.000000000000000000000000000000000000000000000000000000000000000
8,"('MAJOLAN',)",idx0:majolan,riv,1.0,1.000000000000000000000000000000000000000000000000000000000000
9,"('HAILLAN3',)",idx0:haillan3,riv,1.0,1.0000000000000000000000000000000000000000000000000000000000000
10,"('MOULINAT_AVAL',)",idx0:moulinat_aval,riv,1.0,1.000000000000000000000000000000000000000000000000000000000000000000
11,"('JPT_SEUIL_AVAL',)",idx0:jpt_seuil_aval,riv,1.0,1.0000000000000000000000000000000000000000000000000000000000000000000
12,"('NOIR_AVAL',)",idx0:noir_aval,riv,1.0,1.00000000000000000000000000000000000000000000000000000000000000
13,"('BUSSAGUET_AVAL',)",idx0:bussaguet_aval,riv,1.0,1.0000000000000000000000000000000000000000000000000000000000000000000
14,"('JPT_ECL_AMONT',)",idx0:jpt_ecl_amont,riv,1.0,1.000000000000000000000000000000000000000000000000000000000000000000
15,"('BUSSAGUET_AMONT',)",idx0:bussaguet_amont,riv,1.0,1.00000000000000000000000000000000000000000000000000000000000000000000
16,"('HAILLAN2',)",idx0:haillan2,riv,1.0,1.0000000000000000000000000000000000000000000000000000000000000
17,"('HAILLAN1',)",idx0:haillan1,riv,1.0,1.0000000000000000000000000000000000000000000000000000000000000
18,"('BLANC_AMONT',)",idx0:blanc_amont,riv,1.0,1.0000000000000000000000000000000000000000000000000000000000000000
