 ppi_001  408051.03259700444 6429181.698347771 1  0.644525074359999949891175674565602093935012817382812500000000000000000000000000000 
 ppi_002  408151.03259700444 6429181.698347771 1  0.718860674119999987219387094228295609354972839355468750000000000000000000000000000 
 ppi_003  408251.03259700444 6429181.698347771 1  0.715213847210000031040522117109503597021102905273437500000000000000000000000000000 
 ppi_004  408351.03259700444 6429181.698347771 1  0.889381590099999952414577819581609219312667846679687500000000000000000000000000000 
 ppi_005  408451.03259700444 6429181.698347771 1  0.404391661090000020806201064260676503181457519531250000000000000000000000000000000 
 ppi_006  408551.03259700444 6429181.698347771 1  0.856855004110000040284944589075166732072830200195312500000000000000000000000000000 
 ppi_007  408651.03259700444 6429181.698347771 1  0.797793066979999965226966196496505290269851684570312500000000000000000000000000000 
 ppi_008  408751.03259700444 6429181.698347771 1  1.634553951400000038063353713368996977806091308593750000000000000000000000000000000 
 ppi_009  408851.03259700444 6429181.698347771 1  0.666178836419999975682060266990447416901588439941406250000000000000000000000000000 
 ppi_010  408951.03259700444 6429181.698347771 1  0.345173096319999983538906462854356504976749420166015625000000000000000000000000000 
 ppi_011  407951.03259700444 6429081.698347771 1  0.561333152270000024230967028415761888027191162109375000000000000000000000000000000 
 ppi_012  408051.03259700444 6429081.698347771 1  1.321390201500000083356667346379254013299942016601562500000000000000000000000000000 
 ppi_013  408151.03259700444 6429081.698347771 1  1.372715556900000022366725715983193367719650268554687500000000000000000000000000000 
 ppi_014  408251.03259700444 6429081.698347771 1  1.625203098999999928864212961343582719564437866210937500000000000000000000000000000 
 ppi_015  408351.03259700444 6429081.698347771 1  2.208549199900000203911076823715120553970336914062500000000000000000000000000000000 
 ppi_016  408451.03259700444 6429081.698347771 1  2.115374230700000079963274401961825788021087646484375000000000000000000000000000000 
 ppi_017  408551.03259700444 6429081.698347771 1  2.608063536800000026261159291607327759265899658203125000000000000000000000000000000 
 ppi_018  408651.03259700444 6429081.698347771 1  0.734825363420000043923607790929963812232017517089843750000000000000000000000000000 
 ppi_019  408751.03259700444 6429081.698347771 1  0.529102186669999974277800447453046217560768127441406250000000000000000000000000000 
 ppi_020  408851.03259700444 6429081.698347771 1  0.305714133850000013836734069627709686756134033203125000000000000000000000000000000 
 ppi_021  408951.03259700444 6429081.698347771 1  1.000559568199999915805165073834359645843505859375000000000000000000000000000000000 
 ppi_022  409051.03259700444 6429081.698347771 1  0.717831785460000038057160054449923336505889892578125000000000000000000000000000000 
 ppi_023  409151.03259700444 6429081.698347771 1  0.729843579440000000957411430135834962129592895507812500000000000000000000000000000 
 ppi_024  409251.03259700444 6429081.698347771 1  0.551143690309999989551670296350494027137756347656250000000000000000000000000000000 
 ppi_025  407751.03259700444 6428981.698347771 1  0.343249376609999989895527505723293870687484741210937500000000000000000000000000000 
 ppi_026  407851.03259700444 6428981.698347771 1  1.156751392299999903201523920870386064052581787109375000000000000000000000000000000 
 ppi_027  407951.03259700444 6428981.698347771 1  1.327479511099999953671613184269517660140991210937500000000000000000000000000000000 
 ppi_028  408051.03259700444 6428981.698347771 1  1.344074644600000034699860407272353768348693847656250000000000000000000000000000000 
 ppi_029  408151.03259700444 6428981.698347771 1  1.560181089200000092986897470836993306875228881835937500000000000000000000000000000 
 ppi_030  408251.03259700444 6428981.698347771 1  2.007150211999999989131993061164394021034240722656250000000000000000000000000000000 
