run_id,input_run_id,failed_flag,phi,meas_phi,regul_phi,heads,qdrn,mr,oname:h_otype:lst_usecol:ap1_time:2.0,oname:h_otype:lst_usecol:p23_time:2.0,oname:h_otype:lst_usecol:p24_time:2.0,oname:h_otype:lst_usecol:p25_time:2.0,oname:h_otype:lst_usecol:p26_time:2.0,oname:h_otype:lst_usecol:p27_time:2.0,oname:h_otype:lst_usecol:p28_time:2.0,oname:h_otype:lst_usecol:p29_time:2.0,oname:h_otype:lst_usecol:p30_time:2.0,oname:h_otype:lst_usecol:p32_time:2.0,oname:h_otype:lst_usecol:p33_time:2.0,oname:h_otype:lst_usecol:p34_time:2.0,oname:h_otype:lst_usecol:p37_time:2.0,oname:h_otype:lst_usecol:p38_time:2.0,oname:h_otype:lst_usecol:p39_time:2.0,oname:h_otype:lst_usecol:p40_time:2.0,oname:h_otype:lst_usecol:p8_time:2.0,oname:h_otype:lst_usecol:pf_time:2.0,oname:h_otype:lst_usecol:ph_time:2.0,oname:h_otype:lst_usecol:prg_time:2.0,oname:h_otype:lst_usecol:pzhm1_time:2.0,oname:h_otype:lst_usecol:r20_time:2.0,oname:h_otype:lst_usecol:r21_time:2.0,oname:h_otype:lst_usecol:rck1_time:2.0,oname:h_otype:lst_usecol:rck2_time:2.0,oname:q_otype:lst_usecol:bar_time:2.0,oname:q_otype:lst_usecol:gal_time:2.0,oname:mr_otype:lst_usecol:bar_time:2,oname:mr_otype:lst_usecol:gal_time:2,oname:mr_otype:lst_usecol:r20_time:2,oname:mr_otype:lst_usecol:r21_time:2
669,pname:hk_inst:0_ptype:pp_pstyle:m_x:409251.03_y:6428481.70_zone:1_2.511886E+00,0,14404112.5782097,14404112.5782097,0,13990790.289319,407658.962966273,5663.32592450811,12.91254235,15.60929189,14.32022653,12.7401991,13.74240455,16.79496919,16.2706146,18.39867277,18.25323804,10.36689119,10.18013629,11.38513047,10.34108388,10.89950377,13.28454784,15.06331857,13.50427352,14.27729511,14.36087531,11.5371242,13.11331522,11.14497471,12.21267464,10.49037969,10.65103482,-0.94082,-1.6498,0,-0.0698116598442232,0,0
670,pname:hk_inst:0_ptype:pp_pstyle:m_x:409251.03_y:6428481.70_zone:1_3.162278E+00,0,14402678.838984,14402678.838984,0,13989776.92222,407234.205885473,5667.71087853938,12.9124922,15.60975756,14.32021954,12.74014248,13.74239513,16.79500031,16.27065323,18.39879383,18.25344378,10.3665346,10.17968618,11.38478928,10.34087132,10.89935687,13.28450893,15.06333049,13.50432083,14.27497682,14.3595678,11.53488846,13.11307913,11.14487376,12.21261535,10.48971061,10.65057964,-0.94137,-1.6485,0,-0.0701204741830348,0,0
671,pname:hk_inst:0_ptype:pp_pstyle:m_x:409351.03_y:6428481.70_zone:1_1.258925E+00,0,14407212.1919811,14407212.1919811,0,13993017.1056506,408556.821571075,5638.26475936102,12.91259702,15.60754298,14.32016875,12.74030278,13.74237194,16.79479841,16.27042748,18.39816973,18.25240215,10.36764094,10.18079147,11.38591778,10.34141716,10.89971339,13.28459335,15.06321766,13.50392675,14.28344049,14.36429339,11.5431972,13.11387152,11.14506932,12.21274041,10.49195356,10.65209572,-0.93852,-1.6531,0,-0.068044120049098,0,0
672,pname:hk_inst:0_ptype:pp_pstyle:m_x:409351.03_y:6428481.70_zone:1_1.584893E+00,0,14404618.3271049,14404618.3271049,0,13991143.0893796,407834.033788675,5641.20393668888,12.91243609,15.60766787,14.32005467,12.74015786,13.74229622,16.79474115,16.27035343,18.39814834,18.25241949,10.36697052,10.17965225,11.38534489,10.34091019,10.89934352,13.28445883,15.06312412,13.50376685,14.28021901,14.3624406,11.54025001,13.11348944,11.14477013,12.21256028,10.49084461,10.65133952,-0.93842,-1.6514,0,-0.0682516457226824,0,0
673,pname:hk_inst:0_ptype:pp_pstyle:m_x:409351.03_y:6428481.70_zone:1_1.995262E+00,0,14402076.1808056,14402076.1808056,0,13989260.6899555,407151.242053795,5664.24879633741,12.91226754,15.60778949,14.31993021,12.74000714,13.74223627,16.79469756,16.27025778,18.3981022,18.25243972,10.36630461,10.17850413,11.38478293,10.34040641,10.89897619,13.28431726,15.06301518,13.50359491,14.27699389,14.36060065,11.53728427,13.11312556,11.14447449,12.21237309,10.48973427,10.65059193,-0.93831,-1.6498,0,-0.0698766650860843,0,0
674,pname:hk_inst:0_ptype:pp_pstyle:m_x:409351.03_y:6428481.70_zone:1_2.511886E+00,0,14399493.3040378,14399493.3040378,0,13987395.9676505,406429.913826595,5667.42256067554,12.91211432,15.60791677,14.31982707,12.73986932,13.74214811,16.79463086,16.27020632,18.39810232,18.25245097,10.36562766,10.17736831,11.38419894,10.33989401,10.89860219,13.28419086,15.0629385,13.50344494,14.27378009,14.35873838,11.53435148,13.11272704,11.14417023,12.21219956,10.488624,10.64982588,-0.93821,-1.6481,0,-0.0701001732625853,0,0
675,pname:hk_inst:0_ptype:pp_pstyle:m_x:409351.03_y:6428481.70_zone:1_3.162278E+00,0,14396904.8849029,14396904.8849029,0,13985528.0938905,405707.318271236,5669.47274112804,12.9119481,15.60803768,14.31970635,12.73972175,13.74209351,16.79459538,16.27011483,18.39805149,18.25246563,10.36496432,10.17622324,11.38364119,10.33939145,10.89823606,13.28405272,15.06283451,13.50327212,14.27057912,14.35691379,11.53140149,13.11236619,11.14387538,12.21201392,10.48751833,10.64908219,-0.9381,-1.6464,0,-0.070244517129702,0,0
676,pname:hk_inst:0_ptype:pp_pstyle:m_x:409451.03_y:6428481.70_zone:1_1.258925E+00,0,14406737.5990711,14406737.5990711,0,13992619.4817058,408480.077099395,5638.0402658916,12.91253858,15.60729697,14.32011197,12.74025726,13.74234112,16.79474924,16.27036664,18.39807836,18.25227951,10.36754658,10.1806333,11.38582136,10.34132393,10.89962578,13.28454391,15.06316267,13.50381851,14.28295802,14.36401063,11.5430472,13.11378714,11.14498363,12.21267757,10.49183929,10.65199834,-0.93814,-1.6531,0,-0.0680282668009518,0,0
677,pname:hk_inst:0_ptype:pp_pstyle:m_x:409451.03_y:6428481.70_zone:1_1.584893E+00,0,14403667.9614873,14403667.9614873,0,13990352.470927,407680.601972996,5634.88858726863,12.91231979,15.6071774,14.31994131,12.74006716,13.74223423,16.79464243,16.27023181,18.39796691,18.25217531,10.36678333,10.1793386,11.38515314,10.34072505,10.89916938,13.28436022,15.06301405,13.50355145,14.27925902,14.36187814,11.53995544,13.11332145,11.14459974,12.21243538,10.49061837,10.65114631,-0.93766,-1.6514,0,-0.0678056645201863,0,0
678,pname:hk_inst:0_ptype:pp_pstyle:m_x:409451.03_y:6428481.70_zone:1_1.995262E+00,0,14400632.1559783,14400632.1559783,0,13988090.4187005,406881.935654276,5659.80162353712,12.91210166,15.60706014,14.31977097,12.73987775,13.74212785,16.79453654,16.27009748,18.39785637,18.25207188,10.36602072,10.17804443,11.38448589,10.34012667,10.89871356,13.28417708,15.0628658,13.50328506,14.27556562,14.35974939,11.53686624,13.11285718,11.14421645,12.21219387,10.48939845,10.65029517,-0.93718,-1.6497,0,-0.0695633603517811,0,0
